Y,TRANSPORTE,AGS,BC,BCS,CAM,COAH,COL,CHIS,CHIH,CDMX,DUR,GUA,GUE,HID,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QRO,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
1984,TP,642,1167,228,434,1918,1032,1078,5113,15154,950,1926,1728,3352,5955,6943,3230,1464,370,3576,1540,3589,503,120,787,2317,1956,1643,1851,1010,3323,900,718
1985,TP,672,1175,215,457,1975,1054,1134,5706,13617,971,2041,1779,3457,6167,8477,3326,1675,370,3644,1215,3757,531,231,828,2456,2040,1786,1964,1052,3472,977,807
1986,TP,694,1434,231,470,2047,1083,1193,5920,13183,1030,2115,1867,3519,6358,9757,3492,2859,370,3825,1403,3890,560,247,869,2507,2043,1867,2061,1105,3579,974,821
1987,TP,759,1312,237,521,2104,1105,1228,5981,13116,1049,2101,1916,3514,6542,9412,3612,2859,450,3953,1555,3782,574,256,945,2591,2124,1951,2096,1160,3694,984,881
1988,TP,831,1378,254,549,2203,1161,1290,6167,11071,1106,2155,1970,3534,6536,9702,3811,2861,522,4130,1700,3913,606,266,1007,2731,2227,2034,2158,1218,3947,1188,1003
1989,TP,914,1500,299,569,3738,1234,2059,5948,11026,1211,2413,1768,3194,6823,9570,4090,2923,658,4321,1737,4065,804,305,1036,2828,2464,2216,2626,1276,4007,1329,1199
1990,TP,939,2319,342,579,3890,1189,2168,5960,11106,1275,2692,1741,2944,6922,9741,4250,2998,701,4416,1749,4113,863,369,1249,2829,2732,2141,3216,1210,4298,1060,1274
1991,TP,1031,2549,375,635,4277,1307,2383,2400,10730,1401,2960,1913,3237,7613,10703,4674,3297,770,4857,1925,4523,948,404,1373,3111,3004,2353,3536,1330,4726,1165,1400
1992,TP,922,2327,924,634,4047,1215,2411,2244,11012,1405,3161,1788,2872,7199,10245,4358,3141,710,5029,1952,4167,941,369,1585,3135,3015,2180,3617,1217,4667,1147,1543
1993,TP,1022,2292,940,786,2840,486,1370,2506,13394,1254,3203,1779,1859,6564,2041,3202,3363,751,9293,2013,1266,1062,513,1606,3125,3078,6996,864,1206,5881,1123,1388
1994,TP,1038,2314,949,519,1601,653,1724,2925,11203,893,8694,1811,2194,6438,2776,2992,3419,987,10060,2203,7588,1560,119,887,3105,3145,8203,919,452,21329,541,1336
1995,TP,1151,1059,159,323,1906,689,2132,3604,11372,863,8077,6361,2417,8316,2711,3578,3409,726,9669,2126,3846,1483,198,929,3446,1343,10139,1165,46,17659,1302,1293
1996,TP,1408,2536,198,343,3069,1214,2289,3831,11328,946,3544,16000,2360,7866,7192,3628,3362,1026,9739,1206,3922,4150,797,1509,3617,1504,11947,1281,2139,5263,514,1205
1997,TP,1328,3935,276,375,2679,776,3140,4168,11349,1193,15950,26000,2449,6739,9277,3980,2160,1134,10492,1270,4605,4151,854,1607,3944,1998,13022,1482,1154,6993,1335,1630
1998,TP,1657,4040,462,387,3004,746,3071,5185,11934,1254,16718,37624,2381,6616,9591,4060,3421,1069,12238,1505,5086,4234,1191,3830,4171,1867,13192,2627,4410,6910,807,1155
1999,TP,1709,4140,492,620,3018,743,3079,5415,12141,1405,17088,46378,2389,7671,9631,5540,9857,1153,12620,2114,5388,4180,1344,4888,4368,2597,13239,3242,4345,7178,1134,1251
2000,TP,1700,5782,559,686,3369,751,4090,5587,11611,1242,14979,45583,2756,8543,11080,5504,6274,1560,13378,2183,5957,4476,2127,2043,5625,3399,13530,2754,4422,7628,1418,1800
2001,TP,1658,5086,681,549,30683,684,4624,5312,13259,1553,14523,43562,3094,8706,47696,5456,5216,2377,13025,2376,7024,4726,2153,2451,4856,3991,15020,3167,4509,7850,6137,1532
2002,TP,1660,5502,910,578,34527,705,4870,5993,17374,1779,18486,47257,3190,10073,47632,8422,5389,3167,14039,2817,7465,4929,924,2704,5045,4404,15305,3714,4448,7986,6524,1547
2003,TP,1471,7550,1793,844,32103,811,5080,5771,24705,1995,18634,46842,3259,11653,42334,8724,5546,2200,14373,2899,7964,5035,854,3042,5643,6168,14742,4174,4443,8594,7278,1577
2004,TP,1442,9675,2925,1073,33631,827,4371,5332,27175,2111,19665,48636,3297,10996,3027,8756,4357,1477,14372,3105,8352,3984,1171,3117,5641,7609,5691,5110,4459,8567,2848,1786
